Key,en,pt,de,es,kr,it
calc.editors.trc.toolbar.for-all-content,<b>∀</b>p (F)<br><b>for all</b> p (F),<b>∀</b>p (F)<br><b>for all</b> p (F),<b>∀</b>p (F)<br><b>for all</b> p (F),<b>∀</b>p (F)<br><b>for all</b> p (F),<b>∀</b>p (F)<br><b>for all</b> p (F),<b>∀</b>p (F)<br><b>for all</b> p (F)
calc.editors.trc.toolbar.insert-date,insert date,inserir data,Datum einfügen,insertar fecha,날짜 삽입,insert date
calc.editors.trc.toolbar.insert-date-content,tᵢ.A &lt; <b>date('1970-01-01')</b>,tᵢ.A &lt; <b>date('1970-01-01')</b>,tᵢ.A &lt; <b>date('1970-01-01')</b>,tᵢ.A &lt; <b>date('1970-01-01')</b>,tᵢ.A &lt; <b>date('1970-01-01')</b>,tᵢ.A &lt; <b>date('1970-01-01')</b>
calc.editors.trc.toolbar.single-line-comment,single-line comment,comentário de linha única,Einzelzeilenkommentar,comentario de una sola línea,한 줄 주석,single-line comment
calc.editors.trc.toolbar.single-line-comment-content,{ t | COND(t) } <b>-- useful comment</b>,{ t | COND(t) } <b>-- comentário</b>,{ t | COND(t) } <b>-- useful comment</b>,{ t | COND(t) } <b>-- comentario</b>,{ t | COND(t) } <b>-- 유용한 의견</b>,{ t | COND(t) } <b>-- useful comment</b>
calc.editors.trc.toolbar.multi-line-comment,multi-line comment,comentário multilinha,Mehrzeilenkommentar,comentario de varias líneas,여러 줄 주석,multi-line comment
calc.editors.trc.toolbar.multi-line-comment-content,"<b>/* this is a very,<br>very long comment */</b><br>{ t | COND(t) }","<b>/* este é um comentário,<br>muito longo */</b><br>{ t | COND(t) }",<b>/* dies ist ein sehr <br>langer Kommentar */</b><br>{ t | COND(t) },"<b>/* este es un comentario,<br>muy largo */</b><br>{ t | COND(t) }",<b>/* 이것은 매우 긴 <br> 주석입니다 */</b><br>{ t | COND(t) },"<b>/* this is a very,<br>very long comment */</b><br>{ t | COND(t) }"
calc.editors.trc.toolbar.autoreplace-operators.none,no replacement,nenhum,kein Ersatz,sin reemplazo,대체 없음,no replacement
calc.editors.trc.toolbar.autoreplace-operators.plain2math,exists => ∃,exists => ∃,exists => ∃,exists => ∃,exists => ∃,exists => ∃
calc.editors.trc.toolbar.autoreplace-operators.math2plain,∃ => exists,∃ => exists,∃ => exists,∃ => exists,∃ => exists,∃ => exists
db.messages.translate.warning-distinct-missing,DISTINCT is missing,DISTINCT está ausente,Distinct fehlt,DISTINCT fehlt,DISTINCT 없음,DISTINCT mancante
db.messages.translate.warning-ignored-all-on-set-operators,ignored ALL on set operation,ignorou ALL na operação definida,ALL bei Mengenoperatoren wurde ignoriert,TODOS los operadores de cantidad fueron ignorados,집합 연산에서 무시된 ALL,Ignorato ALL nell'operazione di set
db.messages.translate.error-variable-name-conflict,"name conflict: relation name ""{{name}}"" already exists","conflito de nomes: o nome da relação ""{{name}}"" já existe","Namenskonflikt: eine Relation mit Namen ""{{name}}"" existiert bereits","conflicto de nombre: nombre de relación ""{{name}}"" ya existe","이름 충돌: 릴레이션 이름 ""{{name}}"" 은 이미 존재함","Conflitto di nomi: il nome della relazione ""{{name}}"" esiste già"
db.messages.translate.error-variable-cyclic-usage,"cyclic usage of variable ""{{name}}"" detected","uso cíclico da variável ""{{name}}"" detectado","Zyklische Verwendung von Variable ""{{name}}"" erkannt","uso de variable cíclico ""{{name}}"" detectado","변수  ""{{name}}""의 순환 사용이 감지됨","Rilevato utilizzo ciclico della variabile ""{{name}}"""
editor.codemirror-placeholder,"your query goes here ...

keyboard shortcuts:
	execute statement:    [CTRL]+[RETURN]
	execute selection:    [CTRL]+[SHIFT]+[RETURN]
	autocomplete:         [CTRL]+[SPACE]
","Digite sua consulta aqui ...

Atalhos do teclado:
	executar declaração:    [CTRL]+[RETURN]
	executar seleção:       [CTRL]+[SHIFT]+[RETURN]
	autocompletar:          [CTRL]+[SPACE]
","Abfrage ...

Tastatürkürzel:
	Abfrage ausführen:                      [CTRL]+[RETURN]
	Markierten teil der Abfrage ausführen:  [CTRL]+[SHIFT]+[RETURN]
	Autovervollständigung:                  [CTRL]+[SPACE]","tu consulta va aquí ...

atajos de teclado:
	ejecutar declaración:    [CTRL]+[RETURN]
	ejecutar selección:      [CTRL]+[SHIFT]+[RETURN]
	autocompletar:           [CTRL]+[SPACE]
","쿼리는 이곳에 표시된다 ...

키보드 단축키:
	statement 실행:    [CTRL]+[RETURN]
	selection 실행:    [CTRL]+[SHIFT]+[RETURN]
	자동 완성:          [CTRL]+[SPACE]","La tua intettogazione è qui ...

Scorciatoie da tastiera:
	esegui istruzione:         [CTRL]+[RETURN]
	esegui selezione:          [CTRL]+[SHIFT]+[RETURN]
	completamento automatico:  [CTRL]+[SPACE]
"
editor.alert-message-headers.success,Success,Sucesso,Erfolg,Éxito,성공,Successo
editor.alert-message-headers.info,Info,Info,Info,Info,정보,Info
editor.alert-message-headers.warning,Warning,Aviso,Warnung,Advertencia,경고,Avviso
editor.alert-message-headers.error,Error,Erro,Fehler,Error, 에러 ,Errore
editor.inline-relation-editor.button-ok,ok,Ok,ok,ok,ok,ok
editor.inline-relation-editor.button-cancel,cancel,Cancelar,abbrechen,cancelar,취소,annulla
editor.inline-relation-editor.placeholder-column-name-and-types,columnName:type,columnName:type,spaltenName:datenTyp,nombreColumna:tipo,열 이름:타입,columnName:type
editor.inline-relation-editor.enter-your-data,please enter your data,"por favor, insira seus dados",bitte Daten eingeben,por favor ingrese los datos,데이터를 입력하라,inserisci i tuoi dati
editor.inline-relation-editor.error-column-name-missing,column name missing in column {{index}},nome da coluna ausente na coluna {{index}},Spaltenname fehlt in Spalte {{index}},nombre de columna ausente en columna {{index}},열 이름이 열 __index__에 없다,nome colonna mancante nella colonna {{index}}
editor.inline-relation-editor.error-wrong-quoted-string,string must not contain single and double quotes,string não deve conter aspas simples e duplas,Zeichenketten dürfen keine doppelten oder einfache Anführungszeichen enthalten,cadena de caracteres no debe contener comillas simples y dobles,문자열은 작은따음표와 큰따음표를 포함할 수 없다.,la stringa non deve contenere virgolette singole e doppie
editor.error-no-query-found,no query found,nenhuma consulta encontrada,keine Abfrage gefunden,no se encontró la consulta,쿼리를 찾을 수 없다,nessuna query trovata
editor.pegjs-error.or,or,ou,oder,ó,또는,o
editor.pegjs-error.no-input-found,no input found,nenhuma entrada encontrada,keine Eingabe gefunden,no se encontró la entrada,입력을 찾을 수 없음,nessun input trovato
editor.pegjs-error.end-of-input,end of input,fim da entrada,Ende der Eingabe,fin de entrada,입력의 끝,fine dell'input
editor.pegjs-error.expected-found, Option 1: Expected {{expected}} but {{found}} found. Option 2: Whitespace required before opening parenthesis '(' of relationname.,"Opção 1: Esperado {{expected}}, mas {{found}} encontrado. Opção 2: Espaço em branco necessário antes de abrir parênteses '(' de 'relationName'.", Option 1: Erwarte {{expected}} aber {{found}} gefunden. Option 2: Leerzeichen vor der öffnenden Klammer '(' des Relationsnamens erforderlich. , Opción 1: Se esperaba {{expected}} pero se encontró {{found}} . Optión 2: Se requiere un espacio en blanco antes de abrir el paréntesis '(' de 'relationName'., Option 1: 예상 된 __expected__이지만 __found__이 발견됨. Option 2: Whitespace required before opening parenthesis '(' of 'relationName'.,Opzione 1: previsto {{expected}} ma trovato {{found}}. Opzione 2: spazi vuoti obbligatori prima di aprire la parentesi '(' di relationshipname.
editor.error-at-line-x,at line {{line}},na linha {{line}},in Zeile {{line}},en la línea {{line}},__line__ 줄에서,alla riga {{line}}
calc.messages.error-query-missing,no query found,nenhuma consulta encontrada,keine Abfrage gefunden,no se encontró la consulta,쿼리를 찾을 수 없음,nessuna query trovata
calc.messages.error-query-missing-assignments-found,"only assignments found; query is missing <a href=""help.htm#relalg-assignment"" target=""_blank"">Help - Assignments</a>","apenas atribuições encontradas; falta a consulta <a href=""help.htm#relalg-assignment"" target=""_blank""> Ajuda - Tarefas </a>","nur Zuweisungen gefunden; die eigentliche Abfrage fehlt <a href=""help.htm#relalg-assignment"" target=""_blank"">Help - Assignments (en)</a>","solo se encontraron asignaciones; a la consulta le falta <a href=""help.htm#relalg-assignment"" target=""_blank"">Help - Assignments</a>","쿼리를 찾을 수 없음 <a href=""help.htm#relalg-assignment"" target=""_blank"">Help - Assignments</a>","trovate solo assegnazioni; query mancante <a href=""help.htm#relalg-assignment"" target=""_blank"">Guida - Assegnazioni</a>"
calc.messages.gist-load-success,gist loaded successfully,gist carregado com sucesso,gist erfolgreich geladen,gist fue cargado con éxito,gist 불러오기 완료,gist caricato correttamente
calc.menu.headline,load a Dataset,Carregue um Dataset,Datensätze,cargar un Dataset,데이터셋 불러오기,carica un set di dati
calc.menu.datasets,Datasets,Datasets,Datensätze,Datasets,데이터셋 불러오기,Set di dati
calc.menu.load-gist-headline,Load dataset stored in a gist,Carregar Dataset armazenado em um gist,Datensatz aus gist laden,cargar dataset guardado en un gist,gist에 저장된 데이터셋 불러오기,Carica il set di dati archiviato in un gist
calc.menu.load-gist-button,load,Carregar,laden,cargar,불러오기,carica
calc.menu.load-gist-insert-placeholder,gist ID,gist ID,gist ID,ID de gist,gist 아이디,ID gist
calc.menu.create-own-dataset-headline,Create your own Dataset,Crie seu próprio Dataset,Eigenen Datensatz erstellen,Crear tu propio Dataset,데이터셋 생성하기,Crea il tuo set di dati
calc.menu.create-own-dataset-text,You can create your own dataset and share it with others. Learn more about it in the  ,Você pode criar seu próprio conjunto de dados e compartilhá-lo com outras pessoas. Saiba mais sobre isso no ,"Sie können Ihren eigenen Datensatz erstellen und ihn mit anderen teilen. Lernen Sie mehr darüber  im  <a href=""help.htm#tutorial-maintainer"">Maintainer Tutorial</a>","Puedes crear tu propio dataset y compartirlo con otras personas. 
Aprende más acerca de ésto en ",You can create your own dataset and share it with others. Learn more about it in the ,Puoi creare il tuo set di dati e condividerlo con altri. Scopri di più nel
calc.menu.create-own-dataset-text-link,Maintainer Tutorial,Tutorial de manutenção,Maintainer Tutorial (en),Tutorial de mantenimiento (en),Maintainer Tutorial,Tutorial del responsabile
calc.menu.create-own-dataset-button-new,create new Dataset,Criar novo Dataset,neuen Datensatz erstellen,crear nuevo Dataset,새로운 데이터셋 생성,crea un nuovo set di dati
calc.menu.create-own-dataset-button-modify,modify current Dataset,Modificar Dataset,aktuellen Datensatz abändern,modificar Dataset actual,현재 데이터셋 수정,modifica il set di dati corrente
calc.navigation.take-a-tour,Take a Tour,Faça um Tour,Tour starten,Haz un recorrido,둘러보기,Fai un giro
calc.navigation.feedback,Feedback,Feedback,Feedback,Feedback,피드백,Feedback
calc.navigation.help,Help,Ajuda,Hilfe (en),Ayuda (en),도움말,Guida
calc.navigation.calc,Calculate,Calcular,Rechner,Calculadora,Calculate,Calcola
calc.navigation.language,Language,Idioma,Sprache,Lenguaje,언어,Lingua
calc.maintainer-groups.misc,Miscellaneous,Diversos,Diverse,Misceláneo,다른 종류,Varie
calc.maintainer-groups.temp,Temporary,Temporário,Ungespeichert,Temporal,임시,Temporaneo
calc.maintainer-groups.uibk,University of Innsbruck,University of Innsbruck,Universität Innsbruck,Universidad de Innsbruck,Innsbruck 대학교,Università di Innsbruck
calc.maintainer-groups.karlsruhe,Karlsruhe University of Applied Sciences,Universidade de Ciências Aplicadas de Karlsruhe,Hochschule Karlsruhe,Universidad de Ciencias Aplicadas de Karlsruhe,Karlsruhe 대학교,Università di Scienze Applicate di Karlsruhe
calc.maintainer-groups.saarland,University of Saarland,University of Saarland,Universität Saarland,Universidad de Saarland,Saarland 대학교,Università del Saarland
calc.maintainer-groups.hsd,University of Applied Sciences Düsseldorf,Universidade de Ciências Aplicadas de Düsseldorf, Hochschule Düsseldorf,Universidad de Düsseldorf, Düsseldorf 대학교,Università di Scienze Applicate di Düsseldorf
calc.maintainer-groups.ufes,Federal University of Espírito Santo,Universidade Federal do Espírito Santo,Bundesuniversität Espirito Santo,Universidad Federal de Espírito Santo,에스피리토 산토 연방대학교,Università Federale del Santo Spirito
calc.maintainer-groups.savben,Istituto di Istruzione Superiore Savoia Benincasa,Istituto di Istruzione Superiore Savoia Benincasa,Istituto di Istruzione Superiore Savoia Benincasa,Istituto di Istruzione Superiore Savoia Benincasa,Savoia Benincasa 고등교원기관,Istituto di Istruzione Superiore Savoia Benincasa
calc.editors.button-history,history,histórico,Verlauf,historia,기록,cronologia
calc.editors.button-clear-history,clear,Limpar,Verlauf löschen,borrar,기록 새로고침,cancella
calc.editors.confirm-clear-history,Are you sure you want to clear the history? This action cannot be undone.,Tem certeza de que deseja limpar o histórico? Esta ação não pode ser desfeita.,"Sind Sie sicher, dass Sie den Verlauf löschen möchten?",¿Estás seguro de que deseas borrar el historial? Esta acción no se puede deshacer.,기록을 새로고침 하시겠습니까? 이 작업은 취소할 수 없습니다.,Sei sicuro di voler cancellare la cronologia? Questa azione non può essere annullata.
calc.editors.insert-relation-title,Insert,Inserir,Einfügen,Insertar,Insert,Inserisci
calc.editors.insert-relation-tooltip,Insert relation or column names,Inserir relação ou nomes de coluna,Beziehungs- oder Spaltennamen einfügen,Insertar nombres de relaciones o columnas,Insert relation or column names,Inserisci nomi di relazioni o colonne
calc.editors.group.tab-name,Group Editor,Editor de Grupo,Datensatz Editor,Editor de Grupo,그룹 에디터,Editor di gruppo
calc.editors.group.tab-name-short,GE,EG,DS,EG,그룹 에디터,GE
calc.editors.group.toolbar.import-sql,import SQL-dump,Importar dump SQL,SQL-dump importieren,importar SQL-dump,SQL-덤프 가져오기,importa SQL-dump
calc.editors.group.toolbar.import-sql-content,import SQL-dump,Importar dump SQL,SQL-dump importieren,importar SQL-dump,SQL-컨텐트 가져오기,importa SQL-dump
calc.editors.group.toolbar.add-new-relation,add new relation,+ nova relação,neue Relation hinzufügen,agregar nueva relación,새로운 릴레이션 추가,aggiungi nuova relazione
calc.editors.group.toolbar.add-new-relation-content,open relation editor,Abrir editor de relações,Relationseditor öffnen,abrir editor de relaciones,릴레이션 에디터 열기,apri editor di relazioni
calc.editors.group.button-download,download,baixar,download,descargar,다운로드,scarica
calc.editors.group.button-exec,preview,Visualizar,Vorschau,vista previa,preview,anteprima
calc.editors.group.button-use,use Group in editor,Use Grupo no Editor,Datensatz im Editor verwenden,utilizar Grupo en editor,에디터에서 그룹 사용하기,usa gruppo nell'editor
calc.editors.group.button-use_plural,use first Group in editor,Use o primeiro Grupo no Editor,Datensatz im Editor verwenden,utilizar Grupos en editor,에디터에서 여러 그룹 사용하기,usa primo gruppo nell'editor
calc.editors.group.sql-import-group-name-placeholder,Name of the group (imported from SQL),Nome do grupo (importado de SQL),Name des Datensatzes (importiert),Nombre del grupo (importado de SQL),그룹 이름(SQL로부터 불러옴),Nome del gruppo (importato da SQL)
calc.editors.group.new-group-example-group,"-- this is an example

group: nameOfTheNewGroup 


A = {
	a:string, b:number
	example,  42
}","-- este é um exemplo

group: nomeDoNovoGrupo 


A = {
	a:string, b:number
	exemplo,  42
}","-- dies ist ein Beispiel

group: nameDesDatensatzes 


A = {
	a:string, b:number
	beispiel,  42
}","-- éste es un ejemplo

group: nombreDeNuevoGrupo 


A = {
	a:string, b:number
	ejemplo,  42
}","-- 예시입니다

그룹: nameOfTheNewGroup 


A = {
	a:string, b:number
	example,  42
}","-- questo è un esempio
group: nomeDelNuovoGruppo 

A = {
	a:string, b:number
	esempio,  42
}"
calc.editors.group.modal-sqldump.modal-title,Import SQL-Dump,Importar dump SQL,SQL-Dump importieren,Importar SQL-Dump,SQL-Dump 가져오기,Importa SQL-Dump
calc.editors.group.modal-sqldump.button-close,Close,Fechar,schließen,Cerrar,닫기,Chiudi
calc.editors.group.modal-sqldump.button-cancel,cancel,Cancelar,abbrechen,cancelar,취소,annulla
calc.editors.group.modal-sqldump.button-import-sql,import SQL,Importar SQL,importieren,importar SQL,SQL 가져오기,importa SQL
calc.editors.group.modal-sqldump.description,Put your SQL-Dump here to create a group.,Coloque seu dump SQL aqui para criar um grupo.,Kopieren Sie den SQL-Dump hier her um einen Datensatz daraus zu erstellen.,Ponga su SQL-Dump aquí para crear un grupo.,그룹을 생성하려면 SQL-Dump 이곳에 가져와라,Inserisci qui il tuo SQL-Dump per creare un gruppo.
calc.editors.ra.tab-name,Relational Algebra,Álgebra Relacional,Relationale Algebra,Álgebra Relacional,관계 대수,Algebra relazionale
calc.editors.ra.tab-name-short,RelAlg,AlgRel,RelAlg,ÁlgRel,관계 대수,RelAlg
calc.editors.bags.tab-name,Multiset Algebra,Álgebra multiconjunto,Multimengenalgebra,Álgebra de Multiconjuntos,다중집합 대수학,Algebra multiset
calc.editors.bags.tab-name-short,BagAlg,AlgMC,BagAlg,ÁlgMC,다중집합 대수학,BagAlg
calc.editors.ra.button-execute-query,execute query,Executar consulta,Query ausführen,executar consulta,쿼리 실행,esegui query
calc.editors.ra.button-execute-selection,execute selection,Executar seleção,Markierung ausführen,executar selección,셀렉션 실행,esegui selezione
calc.editors.ra.button-download,download,baixar,download,descargar,다운로드,scarica
calc.editors.ra.toolbar.duplicate-elimination,duplicate elimination,Eliminação de duplicatas,duplicate elimination,duplicate elimination,duplicate elimination,eliminazione duplicati
calc.editors.ra.toolbar.duplicate-elimination-content,"<b class=""math"">∂</b> <b>(</b> A <b>)</b>
<br><b>delta</b> A","<b class=""math"">∂</b> <b>(</b> A <b>)</b>
<br><b>delta</b> A","<b class=""math"">∂</b> <b>(</b> A <b>)</b>
<br><b>delta</b> A","<b class=""math"">∂</b> <b>(</b> A <b>)</b>
<br><b>delta</b> A","<b class=""math"">∂</b> <b>(</b> A <b>)</b>
<br><b>delta</b> A","<b class=""math"">∂</b> <b>(</b> A <b>)</b>
<br><b>delta</b> A"
calc.editors.ra.toolbar.projection,projection,Projeção,Projektion,proyección,프로젝션,proiezione
calc.editors.ra.toolbar.projection-content,"<b class=""math"">&pi;</b> a, b <b>(</b> A <b>)</b>
<br><b>pi</b> a, b A","<b class=""math"">&pi;</b> a, b <b>(</b> A <b>)</b>
<br><b>pi</b> a, b A","<b class=""math"">&pi;</b> a, b <b>(</b> A <b>)</b>
<br><b>pi</b> a, b A","<b class=""math"">&pi;</b> a, b <b>(</b> A <b>)</b>
<br><b>pi</b> a, b A","<b class=""math"">&pi;</b> a, b <b>(</b> A <b>)</b>
<br><b>pi</b> a, b A","<b class=""math"">&pi;</b> a, b <b>(</b> A <b>)</b>
<br><b>pi</b> a, b A"
calc.editors.ra.toolbar.selection,selection,Seleção,Selektion,selección,셀렉션,selezione
calc.editors.ra.toolbar.selection-content,"<b class=""math"">&sigma;</b> a < b ∧ b <span class=""math"">≠<span> c <b>(</b> A <b>)</b>
<br><b>sigma</b> a < b and b != c A","<b class=""math"">&sigma;</b> a < b ∧ b <span class=""math"">≠<span> c <b>(</b> A <b>)</b>
<br><b>sigma</b> a < b and b != c A","<b class=""math"">&sigma;</b> a < b ∧ b <span class=""math"">≠<span> c <b>(</b> A <b>)</b>
<br><b>sigma</b> a < b and b != c A","<b class=""math"">&sigma;</b> a < b ∧ b <span class=""math"">≠<span> c <b>(</b> A <b>)</b>
<br><b>sigma</b> a < b and b != c A","<b class=""math"">&sigma;</b> a < b ∧ b <span class=""math"">≠<span> c <b>(</b> A <b>)</b>
<br><b>sigma</b> a < b and b != c A","<b class=""math"">&sigma;</b> a < b ∧ b <span class=""math"">≠<span> c <b>(</b> A <b>)</b>
<br><b>sigma</b> a < b and b != c A"
calc.editors.ra.toolbar.rename,rename relation / rename columns,renomear relação / renomear colunas,Umbenennen (Relationen/Spalten),renombrar relación / renombrar columnas,릴레이션 이름 변경 / 열 이름 변경,Rinomina relazione / rinomina colonne
calc.editors.ra.toolbar.rename-content,"<div><span class=""math"">&sigma;</span> x.a > 1 ( <b class=""math"">&rho;</b> x <b>(</b> A <b>)</b> )</div>
<div class=""math"">&sigma; A.y > 2 ( <b class=""math"">rho</b> y<b class=""math"">←</b>a <b>(</b> A <b>)</b> )</div>","<div><span class=""math"">&sigma;</span> x.a > 1 ( <b class=""math"">&rho;</b> x <b>(</b> A <b>)</b> )</div>
<div class=""math"">&sigma; A.y > 2 ( <b class=""math"">rho</b> y<b class=""math"">←</b>a <b>(</b> A <b>)</b> )</div>","<div><span class=""math"">&sigma;</span> x.a > 1 ( <b class=""math"">&rho;</b> x <b>(</b> A <b>)</b> )</div>
<div class=""math"">&sigma; A.y > 2 ( <b class=""math"">rho</b> y<b class=""math"">←</b>a <b>(</b> A <b>)</b> )</div>","<div><span class=""math"">&sigma;</span> x.a > 1 ( <b class=""math"">&rho;</b> x <b>(</b> A <b>)</b> )</div>
<div class=""math"">&sigma; A.y > 2 ( <b class=""math"">rho</b> y<b class=""math"">←</b>a <b>(</b> A <b>)</b> )</div>","<div><span class=""math"">&sigma;</span> x.a > 1 ( <b class=""math"">&rho;</b> x <b>(</b> A <b>)</b> )</div>
<div class=""math"">&sigma; A.y > 2 ( <b class=""math"">rho</b> y<b class=""math"">←</b>a <b>(</b> A <b>)</b> )</div>","<div><span class=""math"">&sigma;</span> x.a > 1 ( <b class=""math"">&rho;</b> x <b>(</b> A <b>)</b> )</div>
<div class=""math"">&sigma; A.y > 2 ( <b class=""math"">rho</b> y<b class=""math"">←</b>a <b>(</b> A <b>)</b> )</div>"
calc.editors.ra.toolbar.right-arrow,rename columns operator,operador renomear colunas,Umbenennung von Spalten (neuer Name rechts),renombrar operador de columnas,열 연산자 변경,operatore di ridenominazione delle colonne
calc.editors.ra.toolbar.right-arrow-content,"<div class=""math"">&sigma; A.y > 2 ( <b>&rho;</b> a<b class=""math"">→</b>y <b>(</b> A <b>)</b> )</div>","<div class=""math"">&sigma; A.y > 2 ( <b>&rho;</b> a<b class=""math"">→</b>y <b>(</b> A <b>)</b> )</div>","<div class=""math"">&sigma; A.y > 2 ( <b>&rho;</b> a<b class=""math"">→</b>y <b>(</b> A <b>)</b> )</div>","<div class=""math"">&sigma; A.y > 2 ( <b>&rho;</b> a<b class=""math"">→</b>y <b>(</b> A <b>)</b> )</div>","<div class=""math"">&sigma; A.y > 2 ( <b>&rho;</b> a<b class=""math"">→</b>y <b>(</b> A <b>)</b> )</div>","<div class=""math"">&sigma; A.y > 2 ( <b>&rho;</b> a<b class=""math"">→</b>y <b>(</b> A <b>)</b> )</div>"
calc.editors.ra.toolbar.rename-columns-operator,rename columns operator,operador renomear colunas,Umbenennung von Spalten,renombrar operador de columnas,열 연산자 변경,operatore di ridenominazione delle colonne
calc.editors.ra.toolbar.rename-columns-operator-content,"<div class=""math"">&sigma; A.y > 2 ( <b>&rho;</b> y<b class=""math"">←</b>a <b>(</b> A <b>)</b> )</div>","<div class=""math"">&sigma; A.y > 2 ( <b>&rho;</b> y<b class=""math"">←</b>a <b>(</b> A <b>)</b> )</div>","<div class=""math"">&sigma; A.y > 2 ( <b>&rho;</b> y<b class=""math"">←</b>a <b>(</b> A <b>)</b> )</div>","<div class=""math"">&sigma; A.y > 2 ( <b>&rho;</b> y<b class=""math"">←</b>a <b>(</b> A <b>)</b> )</div>","<div class=""math"">&sigma; A.y > 2 ( <b>&rho;</b> y<b class=""math"">←</b>a <b>(</b> A <b>)</b> )</div>","<div class=""math"">&sigma; A.y > 2 ( <b>&rho;</b> y<b class=""math"">←</b>a <b>(</b> A <b>)</b> )</div>"
calc.editors.ra.toolbar.orderBy,order by,ordenar (order by),Sortieren,ordenar por,정렬,ordina per
calc.editors.ra.toolbar.orderBy-content,"<div><b class=""math"">&tau;</b> a asc, [2] desc <b> (</b> A <b>)</b><div><div><b class=""math"">tau</b> a asc, [2] desc <b> (</b> A <b>)</b></div>","<div><b class=""math"">&tau;</b> a asc, [2] desc <b> (</b> A <b>)</b><div><div><b class=""math"">tau</b> a asc, [2] desc <b> (</b> A <b>)</b></div>","<div><b class=""math"">&tau;</b> a asc, [2] desc <b> (</b> A <b>)</b><div><div><b class=""math"">tau</b> a asc, [2] desc <b> (</b> A <b>)</b></div>","<div><b class=""math"">&tau;</b> a asc, [2] desc <b> (</b> A <b>)</b><div><div><b class=""math"">tau</b> a asc, [2] desc <b> (</b> A <b>)</b></div>","<div><b class=""math"">&tau;</b> a asc, [2] desc <b> (</b> A <b>)</b><div><div><b class=""math"">tau</b> a asc, [2] desc <b> (</b> A <b>)</b></div>","<div><b class=""math"">&tau;</b> a asc, [2] desc <b> (</b> A <b>)</b><div><div><b class=""math"">tau</b> a asc, [2] desc <b> (</b> A <b>)</b></div>"
calc.editors.ra.toolbar.groupBy,group by,agrupar (group by),Gruppieren,agrupar por,그룹화,raggruppa per
calc.editors.ra.toolbar.groupBy-content,"<div><b class=""math"">&gamma;</b> a, b<b>;</b> count(c)→c ( A )</div>
<div><b class=""math"">gamma</b> count(a)->x, sum(b)->y ( A )</div>","<div><b class=""math"">&gamma;</b> a, b<b>;</b> count(c)→c ( A )</div>
<div><b class=""math"">gamma</b> count(a)->x, sum(b)->y ( A )</div>","<div><b class=""math"">&gamma;</b> a, b<b>;</b> count(c)→c ( A )</div>
<div><b class=""math"">gamma</b> count(a)->x, sum(b)->y ( A )</div>","<div><b class=""math"">&gamma;</b> a, b<b>;</b> count(c)→c ( A )</div>
<div><b class=""math"">gamma</b> count(a)->x, sum(b)->y ( A )</div>","<div><b class=""math"">&gamma;</b> a, b<b>;</b> count(c)→c ( A )</div>
<div><b class=""math"">gamma</b> count(a)->x, sum(b)->y ( A )</div>","<div><b class=""math"">&gamma;</b> a, b<b>;</b> count(c)→c ( A )</div>
<div><b class=""math"">gamma</b> count(a)->x, sum(b)->y ( A )</div>"
calc.editors.ra.toolbar.and,and,e,Und,y,논리곱,e
calc.editors.ra.toolbar.and-content,"<div><span class=""math"">&sigma;</span> a < b <b class=""math"">∧</b> b <span class=""math"">≠</span> c ( A )</div>","<div><span class=""math"">&sigma;</span> a < b <b class=""math"">∧</b> b <span class=""math"">≠</span> c ( A )</div>","<div><span class=""math"">&sigma;</span> a < b <b class=""math"">∧</b> b <span class=""math"">≠</span> c ( A )</div>","<div><span class=""math"">&sigma;</span> a < b <b class=""math"">∧</b> b <span class=""math"">≠</span> c ( A )</div>","<div><span class=""math"">&sigma;</span> a < b <b class=""math"">∧</b> b <span class=""math"">≠</span> c ( A )</div>","<div><span class=""math"">&sigma;</span> a < b <b class=""math"">∧</b> b <span class=""math"">≠</span> c ( A )</div>"
calc.editors.ra.toolbar.xor,xor,ou exclusivo (xor),Xor,xor,배타적 논리,xor
calc.editors.ra.toolbar.xor-content,"<div><span class=""math"">&sigma;</span> a < b <b class=""math"">⊕</b> b <span class=""math"">≠</span> c ( A )</div>","<div><span class=""math"">&sigma;</span> a < b <b class=""math"">⊕</b> b <span class=""math"">≠</span> c ( A )</div>","<div><span class=""math"">&sigma;</span> a < b <b class=""math"">⊕</b> b <span class=""math"">≠</span> c ( A )</div>","<div><span class=""math"">&sigma;</span> a < b <b class=""math"">⊕</b> b <span class=""math"">≠</span> c ( A )</div>","<div><span class=""math"">&sigma;</span> a < b <b class=""math"">⊕</b> b <span class=""math"">≠</span> c ( A )</div>","<div><span class=""math"">&sigma;</span> a < b <b class=""math"">⊕</b> b <span class=""math"">≠</span> c ( A )</div>"
calc.editors.ra.toolbar.or,or,ou,Oder,ó,논리합,o
